resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility,release_date
AIHE-PY02,Descriptive statistics and visual comparisons,5,py; ipynb; xlsx; csv; json; png; md,"Summarizes numerical and categorical variables, compares groups, and creates baseline visual diagnostics before modeling.",V1.0,public,"3, 5, 11",chapters/05/py/PY02_descriptive,"Quality Management, Accreditation, and Organizational Learning",AIHE-C01; AIHE-CASE05,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 5; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-I,Health-System AI Indicator Library,5,docx; xlsx; csv; json; md; mmd; svg; png,"Select outcome, process, balancing, equity, workforce, economic, governance, environmental, and lifecycle indicators with definitions, owners, sources, thresholds, and actions.",V1.0,optional,"3,4,5,10,12,13,15",chapters/05/core/AIHE-C01/supp/AIHE-I,"Quality Management, Accreditation, and Organizational Learning",AIHE-C01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-I.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 5,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-B01,Economic Evaluation Specification,6,docx; xlsx; csv; json; md; mmd; svg; png,"Define the economic decision, perspective, comparator, horizon, outcomes, costs, methods, uncertainty, safeguards, and validation.",V1.0,public,"6, 7, 8",chapters/06/core/AIHE-B01,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B,Core,AIHE-B,yes,docs/forms/AIHE-B01/index.html,yes,docs/process/resources/AIHE-B01.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 6; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-02
AIHE-B02,Lifecycle Cost and Pricing Record,6,docx; xlsx; csv; json; md; mmd; svg; png,"Record acquisition through exit costs, resource use, pricing exposure, opportunity cost, residual value, and evidence.",V1.0,public,"6, 9, 12, 14, 15",chapters/06/core/AIHE-B02,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-M; AIHE-EX17,Core,AIHE-M; AIHE-EX17,yes,docs/forms/AIHE-B02/index.html,yes,docs/process/resources/AIHE-B02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 6; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-02
AIHE-CASE06,"Five-Year Lifecycle Cost, Pricing, ROI, and Benefit Realization",6,md; csv; json; xlsx,"Does the proposed AI service create value after all lifecycle costs, pricing exposure, and benefit-conversion conditions are included?",V1.0,public,6,worked_examples/CASE06_cost_roi,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01; AIHE-B02; AIHE-B; AIHE-M; AIHE-EX17; AIHE-B03; AIHE-PY10; AIHE-PY11,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 6 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY10,Total Cost of AI Ownership (TCAIO) lifecycle costing,6,py; ipynb; xlsx; csv; json; png; md,"Calculates one-time and recurring AI costs, discounted present value, cost per use, and optimistic/base/conservative scenarios across the full lifecycle.",V1.0,public,"6, 9, 14, 15",chapters/06/py/PY10_cost_budget,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02; AIHE-CASE06,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 6; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY11,"ROI, net benefit, and benefit-realization analysis",6,py; ipynb; xlsx; csv; json; png; md,"Calculates gross and risk-adjusted benefits, total cost, net benefit, ROI, payback period, and the effect of realization probability and attribution assumptions.",V1.0,public,"4, 6, 7",chapters/06/py/PY11_finance_value,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B03; AIHE-CASE06,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 6; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-B,Economic Evaluation Specification,6,docx; xlsx; csv; json; md; mmd; svg; png,"Specify the decision, perspective, comparator, costs, outcomes, horizon, uncertainty, distribution, and reporting plan.",V1.0,optional,"6,7,8,15",chapters/06/core/AIHE-B01/supp/AIHE-B,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-B.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 6,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX17,AI Pricing and Contract Scenario Record,6,docx; xlsx; csv; json; md; mmd; svg; png,"Model base and variable fees in clinically legible units, cap exposure, price support explicitly, and link renewal to realized value.",V1.0,optional,"6,9,12",chapters/06/core/AIHE-B02/supp/AIHE-EX17,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX17.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 6,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-M,TCAIO Costing Workbook,6,docx; xlsx; csv; json; md; mmd; svg; png,"Estimate incremental lifecycle costs from acquisition through operation, monitoring, material change, and exit.",V1.0,optional,"6,9,14,15",chapters/06/core/AIHE-B02/supp/AIHE-M,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-M.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 6,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-B04,"Cost-Effectiveness, Budget Impact, and HTA Record",7,docx; xlsx; csv; json; md; mmd; svg; png,"Summarize cost-effectiveness, affordability, distribution, HTA, reimbursement, adoption conditions, uncertainty, and recommendation.",V1.0,public,"7, 8, 9, 11",chapters/07/core/AIHE-B04,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-AA; AIHE-EX18,Core,AIHE-AA; AIHE-EX18,yes,docs/forms/AIHE-B04/index.html,yes,docs/process/resources/AIHE-B04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 7; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-02
AIHE-CASE07,"Remote Monitoring: Cost-Effectiveness, Budget Impact, and HTA",7,md; csv; json; xlsx,Can an intervention be cost-effective yet remain unaffordable or unsuitable for local adoption?,V1.0,public,7,worked_examples/CASE07_remote_monitor,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-AA; AIHE-EX18; AIHE-EX04; AIHE-AC; AIHE-PY12; AIHE-PY13; AIHE-PY16,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 7 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY12,"Cost-effectiveness, ICER, and net monetary benefit",7,py; ipynb; xlsx; csv; json; png; md,"Compares an AI-enabled pathway with a comparator using incremental cost, incremental effect, ICER, net monetary benefit, and dominance rules.",V1.0,public,"7, 8, 15",chapters/07/py/PY12_cost_effect,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-CASE07,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 7; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY13,Multiyear budget-impact analysis,7,py; ipynb; xlsx; csv; json; png; md,"Estimates annual and cumulative financial consequences for a specific budget holder under low, base, and high adoption or effectiveness scenarios.",V1.0,public,"6, 7, 8",chapters/07/py/PY13_budget_impact,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-CASE07,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 7; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY16,Distributional cost-effectiveness and equity-weighted analysis,7,py; ipynb; xlsx; csv; json; png; md,"Compares costs, effects, net monetary benefit, access, and equity-weighted value across population groups.",V1.0,public,"7, 10, 15",chapters/07/py/PY16_distributional,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-C03; AIHE-CASE07,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 7; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-AA,Cost-Effectiveness and Budget-Impact Tool,7,docx; xlsx; csv; json; md; mmd; svg; png,"Compare incremental costs and outcomes, net benefit, affordability, uptake, cash flow, and sensitivity scenarios.",V1.0,optional,"7,8",chapters/07/core/AIHE-B04/supp/AIHE-AA,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AA.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 7,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX18,"HTA, Reimbursement, and Adoption Record",7,docx; xlsx; csv; json; md; mmd; svg; png,"Distinguish regulatory authorization, HTA, reimbursement or payment, procurement, and local adoption; record the authority, perspective, evidence, gaps, and continuing evidence conditions for each layer.",V1.0,optional,"7,9,11,12",chapters/07/core/AIHE-B04/supp/AIHE-EX18,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX18.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 7,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,docx; xlsx; csv; json; md; mmd; svg; png,"Select a decision model from the problem structure and document evidence, verification, uncertainty, and reproducibility.",V1.0,public,"8, 11, 15",chapters/08/core/AIHE-B05,"Decision Modelling, Simulation, and the Value of Information",AIHE-EX15; AIHE-EX16; AIHE-AF; AIHE-EX04; AIHE-EX05; AIHE-EX06,Core,AIHE-EX15; AIHE-EX16; AIHE-AF; AIHE-EX04; AIHE-EX06,yes,docs/forms/AIHE-B05/index.html,yes,docs/process/resources/AIHE-B05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 8; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-02
AIHE-RG05,Scenario Planning and Real-Options Worksheet,8,docx; xlsx; csv; json; md,"Examine uncertainty through alternative futures, thresholds, staged commitments, learning options, contract flexibility, and explicit exit criteria.",V1.0,public,"1, 6-9, 12, 15",chapters/08/guides/AIHE-RG05,"Decision Modelling, Simulation, and the Value of Information",,Reference guide,,yes,docs/forms/AIHE-RG05/index.html,yes,docs/process/resources/AIHE-RG05.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 8 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-CASE08,Imaging Prioritization Decision Model and Value of Information,8,md; csv; json; xlsx,"Which uncertainty is most likely to change the adoption decision, and is further evidence worth its cost?",V1.0,public,8,worked_examples/CASE08_imaging_voi,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-EX15; AIHE-EX16; AIHE-AA; AIHE-PY14; AIHE-PY15; AIHE-PY18; AIHE-PY19; AIHE-PY20,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 8 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY14,Deterministic sensitivity and tornado analysis,8,py; ipynb; xlsx; csv; json; png; md,Tests how one uncertain input at a time changes net monetary benefit or another linear decision outcome and ranks decision drivers.,V1.0,public,8,chapters/08/py/PY14_sensitivity,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-RG05; AIHE-CASE08,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 8; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY15,"Probabilistic sensitivity analysis, CEAC, and EVPI",8,py; ipynb; xlsx; csv; json; png; md,"Propagates uncertainty in incremental costs and effects through Monte Carlo simulation, estimates cost-effectiveness probabilities across thresholds, and computes expected value of perfect information.",V1.0,public,8,chapters/08/py/PY15_psa_voi,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-RG05; AIHE-CASE08,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 8; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY18,Decision-tree pathway model,8,py; ipynb; xlsx; csv; json; png; md,"Calculates expected cost, effect, events, and net monetary benefit for short AI and comparator pathways with mutually exclusive outcome branches.",V1.0,public,8,chapters/08/py/PY18_decision_tree,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-CASE08,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 8; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY19,Markov cohort model for long-term AI evaluation,8,py; ipynb; xlsx; csv; json; png; md,"Simulates repeated transitions among health states for AI and usual care, accumulating discounted costs and QALYs over time.",V1.0,public,8,chapters/08/py/PY19_markov,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-CASE08,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 8; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY20,Patient-level microsimulation,8,py; ipynb; xlsx; csv; json; png; md,"Simulates heterogeneous patients over repeated cycles so history, subgroup risk, adherence, and individual outcomes can affect AI value.",V1.0,public,8,chapters/08/py/PY20_microsim,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-CASE08,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 8; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-AF,"Evidence, Reporting, and Assurance Crosswalk",8,docx; xlsx; csv; json; md; mmd; svg; png,"Match evidence and assurance needs to reporting standards, appraisal tools, lifecycle guidance, and management systems.",V1.0,optional,"9,10,11,12",chapters/08/core/AIHE-B05/supp/AIHE-AF,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AF.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 8,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX04,Evidence and Assumption Log,8,docx; xlsx; csv; json; md; mmd; svg; png,"Link each material claim and assumption to evidence, quality, applicability, uncertainty, owner, and action.",V1.0,optional,"7,8,11,12",chapters/08/core/AIHE-B05/supp/AIHE-EX04,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX04.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 8,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX06,Model Card and AI Intervention Fact Sheet,8,docx; xlsx; csv; json; md; mmd; svg; png,"Record the exact system, version, intended and prohibited uses, evidence, limitations, human oversight, and monitoring.",V1.0,optional,"3,9,11,12",chapters/08/core/AIHE-B05/supp/AIHE-EX06,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX06.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 8,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX15,Analytic and Simulation Method Selection Guide,8,docx; xlsx; csv; json; md; mmd; svg; png,"Select decision trees, Markov models, microsimulation, discrete-event simulation, system dynamics, or agent-based modeling by problem structure.",V1.0,optional,"7,8,11",chapters/08/core/AIHE-B05/supp/AIHE-EX15,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX15.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 8,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX16,"Reproducible Analysis, Model Risk, and Code Quality Checklist",8,docx; xlsx; csv; json; md; mmd; svg; png,"Verify data provenance, environments, versioning, testing, validation, uncertainty, security, release, and archive controls.",V1.0,optional,"8,11,12",chapters/08/core/AIHE-B05/supp/AIHE-EX16,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX16.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 8,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-D01,Vendor Evidence and Contract Requirements,9,docx; xlsx; csv; json; md; mmd; svg; png,"Translate evidence, interoperability, data, security, monitoring, update, service, remedy, portability, and exit requirements into contract terms.",V1.0,public,"6, 9, 10, 12, 14",chapters/09/core/AIHE-D01,Problem-First Procurement and Vendor Governance,AIHE-D; AIHE-EX08; AIHE-EX09,Core,AIHE-D; AIHE-EX08; AIHE-EX09,yes,docs/forms/AIHE-D01/index.html,yes,docs/process/resources/AIHE-D01.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 9; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Evaluate and contract with a vendor,default,2026-09-02
AIHE-CASE09,AI Vendor Procurement and Contract Negotiation,9,md; csv; json; xlsx,"How should the hospital compare vendors when a lower price is accompanied by weak audit, security, update, and exit provisions?",V1.0,public,9,worked_examples/CASE09_vendor_contract,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D; AIHE-EX08; AIHE-EX09; AIHE-Q; AIHE-EX17; AIHE-PY17; AIHE-PY25,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 9 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-PY17,AI pricing and contract scn analysis,9,py; ipynb; xlsx; csv; json; png; md,"Compares subscription, per-use, risk-sharing, and hybrid pricing arrangements under different volume, uptake, performance, and savings assumptions.",V1.0,public,"6, 9",chapters/09/py/PY17_pricing_contract,Problem-First Procurement and Vendor Governance,AIHE-B02; AIHE-D01; AIHE-CASE09,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 9; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-PY25,Weighted procurement scorecard with mandatory safeguards,9,py; ipynb; xlsx; csv; json; png; md,"Ranks candidate AI products using weighted evidence domains while enforcing non-compensatory safety, privacy, equity, cybersecurity, audit, and exit safeguards.",V1.0,public,"9, 12, 14",chapters/09/py/PY25_procurement,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-CASE09,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 9; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-02
AIHE-D,AI Procurement Checklist,9,docx; xlsx; csv; json; md; mmd; svg; png,"Evaluate problem fit, evidence, integration, lifecycle cost, data rights, security, monitoring, updates, audit, and exit.",V1.0,optional,"9,12,14",chapters/09/core/AIHE-D01/supp/AIHE-D,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-D.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX08,Vendor Demonstration Evaluation Form,9,docx; xlsx; csv; json; md; mmd; svg; png,"Structure demonstrations around real workflows, evidence, limitations, usability, interoperability, monitoring, and unsupported claims.",V1.0,optional,"9,12",chapters/09/core/AIHE-D01/supp/AIHE-EX08,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX08.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-EX09,Contract Requirements and Exit Matrix,9,docx; xlsx; csv; json; md; mmd; svg; png,"Document intended use, evidence, audit, updates, data, security, service levels, pricing, termination, portability, and decommissioning clauses.",V1.0,optional,"9,12,14",chapters/09/core/AIHE-D01/supp/AIHE-EX09,Problem-First Procurement and Vendor Governance,AIHE-D01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX09.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 9,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
